ID,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
0,Orange,Striped Tee,Silver Hoop,X Eyes,Robot,None,Discomfort
1,Orange,Vietnam Jacket,None,Blue Beams,Robot,None,Grin
2,Aquamarine,None,None,3d,Robot,Sea Captain's Hat,Bored Cigarette
3,Purple,Bone Necklace,None,Bored,Cheetah,None,Tongue Out
4,Blue,Navy Striped Tee,None,Closed,Golden Brown,Party Hat 2,Phoneme L
5,Army Green,Bayc T Red,None,X Eyes,Brown,Bayc Flipped Brim,Dumbfounded
6,Yellow,Tweed Suit,None,Crazy,Cream,S&m Hat,Bored
7,Gray,Wool Turtleneck,None,Angry,Golden Brown,Stuntman Helmet,Bored
8,Aquamarine,None,Gold Stud,Robot,Zombie,Beanie,Bored
9,Purple,Stunt Jacket,Silver Stud,Sleepy,Brown,Seaman's Hat,Small Grin
10,Aquamarine,Navy Striped Tee,None,Eyepatch,Dmt,Bayc Hat Red,Bored
11,Gray,Smoking Jacket,None,Bloodshot,Dark Brown,Laurel Wreath,Bored Unshaven Cigarette
12,Army Green,Black Holes T,None,Wide Eyed,Brown,Seaman's Hat,Discomfort
13,Yellow,Bone Tee,None,Coins,Black,Police Motorcycle Helmet,Bored
14,Orange,Tanktop,Diamond Stud,3d,Cheetah,None,Small Grin
15,Gray,Black T,None,Zombie,Gray,Girl's Hair Pink,Phoneme L
16,Purple,Bone Necklace,Silver Hoop,Bored,Dark Brown,Horns,Dumbfounded
17,New Punk Blue,Bayc T Black,Gold Stud,Closed,Tan,Commie Hat,Bored Unshaven
18,Purple,Vietnam Jacket,None,Cyborg,Robot,None,Bored Cigarette
19,Army Green,None,None,Eyepatch,Tan,Bayc Hat Black,Rage
20,Blue,Bandolier,None,3d,Gray,Beanie,Phoneme Vuh
21,Orange,Black Holes T,None,Bored,Black,None,Phoneme  ooo
22,New Punk Blue,Tuxedo Tee,Gold Stud,Sleepy,Zombie,S&m Hat,Bored Unshaven
23,Aquamarine,None,None,Bored,Trippy,Beanie,Bored Pipe
24,Aquamarine,Bayc T Black,None,Hypnotized,Black,Fez,Dumbfounded
25,Blue,Guayabera,None,Closed,Brown,None,Bored Cigarette
26,Aquamarine,Stunt Jacket,None,3d,Dark Brown,Stuntman Helmet,Bored Cigarette
27,Orange,Sleeveless T,None,Bored,Gray,Army Hat,Bored
28,Purple,None,Silver Stud,X Eyes,Tan,Bayc Flipped Brim,Bored Cigarette
29,Blue,None,None,Robot,Tan,None,Bored Unshaven
30,Aquamarine,Tuxedo Tee,None,Holographic,Gray,None,Bored Unshaven Cigarette
31,Yellow,Black Holes T,Silver Hoop,Eyepatch,Dmt,Party Hat 2,Bored Unshaven
32,Purple,Hip Hop,None,Sunglasses,Dark Brown,Halo,Bored
33,Purple,Vietnam Jacket,None,Closed,Red,Girl's Hair Pink,Small Grin
34,Orange,Sleeveless T,None,Sleepy,Black,Bayc Hat Red,Bored
35,Blue,Navy Striped Tee,None,3d,Death Bot,None,Jovial
36,Purple,Sailor Shirt,None,Bored,Dark Brown,None,Bored Unshaven
37,Blue,Striped Tee,Silver Hoop,Bored,Blue,Bowler,Bored
38,Blue,Navy Striped Tee,Cross,Closed,Black,None,Bored Cigarette
39,Aquamarine,Leather Jacket,None,Bloodshot,Gray,Fez,Dumbfounded
40,New Punk Blue,Biker Vest,None,Sad,Dark Brown,Spinner Hat,Bored
41,Purple,Navy Striped Tee,None,Sad,Dark Brown,Sea Captain's Hat,Phoneme  ooo
42,Yellow,Biker Vest,None,Coins,Dark Brown,Baby's Bonnet,Bored Pizza
43,Orange,Wool Turtleneck,Silver Stud,Coins,Brown,None,Grin
44,New Punk Blue,Tweed Suit,Gold Stud,Coins,Gray,Baby's Bonnet,Bored Unshaven
45,Orange,Lumberjack Shirt,Silver Stud,Eyepatch,Black,None,Phoneme Wah
46,Gray,Bone Necklace,None,Heart,Gray,Fez,Bored
47,Army Green,None,None,3d,Pink,Sea Captain's Hat,Bored Cigarette
48,Blue,Prison Jumpsuit,None,Scumbag,Red,None,Bored Unshaven
49,Purple,Bone Tee,Silver Stud,Bored,Cheetah,Fisherman's Hat,Bored Unshaven Cigarette
50,Army Green,Sailor Shirt,None,Bored,Robot,Seaman's Hat,Tongue Out
51,Orange,Lumberjack Shirt,None,Cyborg,Dark Brown,Girl's Hair Short,Bored Unshaven
52,Army Green,Work Vest,None,Sleepy,Black,King's Crown,Bored
53,Yellow,None,None,Wide Eyed,Brown,Fez,Grin
54,Purple,Leather Jacket,None,Sleepy,Pink,None,Bored
55,New Punk Blue,Lumberjack Shirt,Gold Stud,Sunglasses,Cheetah,Bunny Ears,Grin Multicolored
56,Yellow,Guayabera,None,Crazy,Brown,Commie Hat,Dumbfounded
57,Army Green,Bayc T Red,Silver Stud,Sad,Dark Brown,Seaman's Hat,Phoneme L
58,Yellow,Navy Striped Tee,None,Angry,Zombie,Commie Hat,Discomfort
59,Gray,Navy Striped Tee,None,Wide Eyed,Red,None,Phoneme Wah
60,Aquamarine,Bayc T Black,None,Scumbag,Pink,None,Bored Unshaven Cigar
61,Aquamarine,Bone Tee,None,Eyepatch,Cream,None,Bored Cigarette
62,Aquamarine,Tanktop,None,Heart,Cream,None,Rage
63,Blue,Sailor Shirt,None,Sunglasses,Zombie,Bunny Ears,Grin
64,Purple,Navy Striped Tee,Gold Hoop,3d,Brown,Army Hat,Bored
65,New Punk Blue,Stunt Jacket,None,Bored,Blue,None,Bored Cigarette
66,Army Green,Blue Dress,Cross,Bored,Pink,Bayc Flipped Brim,Bored Cigarette
67,Orange,Bayc T Red,None,Sleepy,Black,None,Grin
