ID,Background,Clothes,Earring,Eyes,Hat,Mouth,Special,Type
0,Tribal,Hawaii Banana Shirt,Banana,Cybermeta Tokyo Glasses,None,Rose,None,Augmented Ape
1,Foggy,Hawaii Flower Shirt,Banana,MetaScreen Red Tornado,None,Basic,None,Camo
2,Gold,Hawaii Flower Shirt,Banana,No Glasses,None,Basic,Clown Nose,Platinum
3,Dark,Samurai Jacket,Banana,Zorro Mask,None,Basic,Lightning Necklace,Robot
4,Foggy,Prisoner Tshirt,Banana,MetaScreen Matrix,None,Basic,None,Basic Red
5,Tribal,Elrond Turtleneck,Banana,No Glasses,None,Cigar,Katana,Camo
6,Tribal,None,Banana,MetaScreen Red Tornado,None,Basic,None,Gold
7,Blue,Leather Apron,Banana,Steampunk,None,Pacifier,None,Platinum
8,Tribal,None,Banana,Monolaser Glasses,None,Wheat,Blood Cheek,Gold
9,Tribal,Camo Tshirt,Banana,No Glasses,None,Pacifier,Katana,Basic Red
10,Foggy,Fragile Stickers,Banana,No Glasses,None,Party Blower,None,Camo
11,Tribal,Striped Tshirt,Banana,No Glasses,None,Candy Cane,None,Robot
12,Retro Space,Space Synthetic Jacket,Banana,No Glasses,None,Pacifier,Katana,Gold
13,Foggy,Hawaii Flower Shirt,Banana,No Glasses,None,Basic,French Flag,Camo
14,Foggy,Hawaii Flower Shirt,Banana,No Glasses,None,Pipe,Trident,Robot
15,Red,Carbon Synthetic Suit,Banana,Cyborg,None,Basic,Bowtie,Gold
16,Red,Fragile Stickers,Banana,Cybermeta Tokyo Glasses,None,Basic,Lightning Necklace,Camo
17,Dark,None,Banana,No Glasses,None,Basic,EGLD Wood Necklace,Basic Red
18,Tribal,Samurai Jacket,Banana,Steampunk,None,Cigar,None,Platinum
19,Retro Space,Basic Hoodie,Banana,No Glasses,None,Lollipop,None,Camo
20,Foggy,Overall,Banana,No Glasses,None,Pipe,None,Zombie
21,Gold,Tribal Torso,Banana,No Glasses,None,Wheat,Trident,Robot
22,Retro Space,Leather Apron,Banana,No Glasses,None,Basic,Clown Nose,Camo
23,Retro Space,Fragile Stickers,Banana,No Glasses,None,Basic,Bowtie,Zombie
24,Tribal,Leather Apron,Banana,Funny Nose Glasses,None,Basic,None,Zombie
25,Tribal,Tactical,Banana,No Glasses,None,Wheat,None,Augmented Ape
26,Foggy,None,Banana,MetaScreen Matrix,None,Basic,Lightning Necklace,Platinum
27,Retro Space,None,Banana,MetaScreen Matrix,None,Bubble Gum,None,Augmented Ape
28,Dark,Carbon Synthetic Suit,Banana,No Glasses,None,Rose,None,Basic Red
29,Dark,Kimono,Banana,Funny Nose Glasses,None,Basic,Bowtie,Camo
30,Retro Space,Overall,Banana,Cyborg,None,Basic,None,Zombie
31,Red,None,Banana,No Glasses,None,Rose,Katana,Robot
32,Tribal,Basic Tshirt,Banana,No Glasses,None,Pacifier,None,Augmented Ape
